ID,ZIPcode,Location,WeatherStationIDREF,StartingEpochTime,EndingEpochTime
2000914,26600,Mercurol,26179001,886593000,918637800
2000916,26200,Montelimar,26198001,886707000,918660600
2000930,42120,St Vincent de Boisset,42170001,888410400,920388000
2000933,44000,Nantes,44020001,889014000,921771000
2000934,44830,Bouaye,44020001,889047000,921848400
2000935,44000,Nantes,44020001,889103400,921760800
2000936,44190,Clisson,85119001,889123800,921831600
2000937,44470,Carquefou,44069002,889643400,921599400
2000938,26600,Pont de Isere,26313001,890332200,924195000
2000939,44350,Guerande,44069002,889188000,921660000
2000941,26000,Valence,26313001,890835000,924099000
2000943,44470,Carquefou,44069002,889273200,921858600
2000946,26000,Valence,26313001,890857200,924093000
2000947,26500,Bourg les Valence,26313001,891021000,924070800
2000949,44470,Carquefou,44069002,889296600,921917400
2000952,30130,Carsan,30273001,919681800,952325400
2000955,30133,Les Angles,30209002,919698000,952519800
2000958,30133,Les Angles,30209002,919420200,952414200
2000959,30130,Carsan,30273001,919437000,952173000
2000967,92340,Bourg la Reine,75114001,923986200,955606800
2000974,85140,Boulogne,85191003,923589000,955456200
2000980,94250,Gentilly,75114001,923484000,955952400
2000986,51000,Chalons en Champagne,51242001,925204800,957271800
2000987,51000,Chalons en Champagne,51242001,925225200,957355200
2000988,51110,Bazancourt,51183001,924686400,957333600
2000989,51110,Bazancourt,51183001,924775800,957524400
2000990,51220,Brimont,51183001,924927600,957364800
2000992,51000,Chalons en Champagne,51242001,925118400,957351600
2000994,51000,Chalons en Champagne,51242001,924961200,957285000
2000995,51000,Chalons en Champagne,51242001,925304400,957244800
2000996,51000,Chalons en Champagne,51242001,925137600,957249600
2000997,51000,Chalons en Champagne,51242001,925292400,957264600
